Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
124144,US,"Rich, tannic and spicy, a classic Sonoma Zinfandel with enough elegance to pair with upscale food. It's a little hot in alcohol and overripe, but wears it proudly, celebrating its Zinny personality with a sweet flourish. That's characterisic of the vineyard, which is on a warm ridge within this cool appellation.",Von Weidlich Vineyard,90,34.0,California,Green Valley,Sonoma,Zinfandel,De Loach,,,De Loach 2009 Von Weidlich Vineyard Zinfandel (Green Valley)
124145,France,"By its very name, this is the top wine from this estate in the Tarn region, which is close to Gaillac. It is powerful, with a medicinal and bitter chocolate edge. The fruit is firm, darkly tannic, rich and worth aging.",Grande Réserve,90,43.0,Southwest France,Côtes du Tarn,,Bordeaux-style Red Blend,Domaine D'en Ségur,Roger Voss,@vossroger,Domaine D'en Ségur 2007 Grande Réserve Red (Côtes du Tarn)
124146,France,"This smooth and creamy wood-aged wine brings a touch of spice to its rich and perfumed character. Ripe and rounded, this wine has apricot and sweet pear flavors.",L'Extase,90,40.0,Southwest France,Bergerac Sec,,Bordeaux-style White Blend,Domaine l'Ancienne Cure,Roger Voss,@vossroger,Domaine l'Ancienne Cure 2010 L'Extase White (Bergerac Sec)
124147,Italy,"Opi Riserva is a dense wine (in a heavy bottle) that would pair with spicy barbecue sauce and succulent grilled meats. The wine is redolent of mature fruit, blackberry jam, exotic spice, clove and cinnamon. It's a soft, sticky expression with long spice flavors on a slightly sweet finish.",Opi Riserva,90,37.0,Central Italy,Montepulciano d'Abruzzo Colline Teramane,,Montepulciano,Farnese,,,Farnese 2006 Opi Riserva  (Montepulciano d'Abruzzo Colline Teramane)
124148,US,"A distinguished, opulent Chardonnay that's a real testimony to the art of blending. Offers waves of orange custard, sweet pineapple tart, crème brûlée, buttered toast and cinnamon spice flavors, brightened with zesty acidity. Easy to find, with more than 38,000 cases produced.",,90,23.0,California,Sonoma County,Sonoma,Chardonnay,Ferrari-Carano,,,Ferrari-Carano 2010 Chardonnay (Sonoma County)
124149,Italy,"Taurasi is one of the great red wines of Italy (sometimes dubbed “the Barolo of the South”), and this expression delivers amazing intensity both in terms of its bouquet and mouthfeel. Its aromas include ripe, chewy blackberry, pipe tobacco, toasted espresso and crushed granite. The mouthfeel is plush, rich and firmly textured, with polished tannins and a smoky aftertaste.",,90,38.0,Southern Italy,Taurasi,,Aglianico,Feudi di San Gregorio,,,Feudi di San Gregorio 2007  Taurasi
124150,Portugal,"In the full Fonseca style, this aged tawny shows both rich fruit and a more serious wood-aged character. Good acidity follows the sweet initial taste, broadening into ripe flavors of nut, plum jelly, and a final crisp acidity.",10 Year Old Tawny,90,,Port,,,Port,Fonseca,Roger Voss,@vossroger,Fonseca NV 10 Year Old Tawny  (Port)
124151,US,"This wine presents an old-fashioned style, marked by hard, numbing tannins that frame ripe flavors of blackberries, licorice, cherries, mocha and black currants. Hard to tell where it's going beyond the next six years, but give it a proper decanting and drink with roasted or grilled meats.",Estate Grown,90,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Grgich Hills,,,Grgich Hills 2008 Estate Grown Cabernet Sauvignon (Napa Valley)
124152,US,"Shows the fantastic power and extracted fruit that this vineyard is famous for. Just massive in apricots, tangerines and pears, it's enriched with sweet smoky oak, which adds vanilla bean and buttered toast to the richness. Fortunately, brisk acidity and minerality provide balance.",Logan Sleepy Hollow Vineyard Estate Grown,90,23.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Talbott,,,Talbott 2010 Logan Sleepy Hollow Vineyard Estate Grown Chardonnay (Santa Lucia Highlands)
124153,US,"Sharp, tart and focused, this bright and well-defined wine offers raspberry and black cherry fruit flavors with some bite on the back end. It shows good concentration and length, with the depth and polish to age nicely for a decade or more.",Olalla Vineyard,90,55.0,Oregon,Umpqua Valley,Southern Oregon,Pinot Noir,Torii Mor,Paul Gregutt,@paulgwine ,Torii Mor 2009 Olalla Vineyard Pinot Noir (Umpqua Valley)
124154,US,"V. Sattui has been making some pretty good Cabernets, and here's another one. It's classic Napa, with smooth, polished tannins, fine acidity and ripe, full-bodied flavors of blackberries, black currants and cedar. Might even develop additional bottle complexity over the next 6–8 years.",,90,35.0,California,Napa Valley,Napa,Cabernet Sauvignon,V. Sattui,,,V. Sattui 2008 Cabernet Sauvignon (Napa Valley)
124155,Chile,"Veramonte's first high-end Ritual Sauvignon is a big success. The nose is mellow, refined and minerally as opposed to pungent and feline. The feel is fresh, clean as a razor, and easygoing, with lime, nectarine and passion fruit flavors. Long and lightly green on the classy finish.",Ritual,90,20.0,Casablanca Valley,,,Sauvignon Blanc,Veramonte,Michael Schachner,@wineschach,Veramonte 2011 Ritual Sauvignon Blanc (Casablanca Valley)
124156,France,"A deep ruby wine with brilliant reflections. It has a youthful, fruit-driven nose backed by mineral undertones. Opulent bramble fruit appears on the nose, with blueberry flavors on the palate highlighted by a dusting of cocoa powder. Supple and smooth tannins finish lightly dusty and moderate acidity aids the medium finish. Drink now–2015.",Valensol,90,,Languedoc-Roussillon,Corbières,,Rhône-style Red Blend,Domaine la Bouysse,,,Domaine la Bouysse 2010 Valensol Red (Corbières)
124157,Portugal,A brilliantly crisp wine that combines both the creaminess and fruit of Arinto and Chardonnay. Wood aging has added a rounder character. Ready to drink in a year.,Reserva Branco,90,,Tejo,,,Portuguese White,Quinta da Lagoalva de Cima,Roger Voss,@vossroger,Quinta da Lagoalva de Cima 2010 Reserva Branco White (Tejo)
124158,US,"An unmistakable buttery, butterscotchy aroma makes this wine stand out from the pack. The flavors are also very buttery, with ripe pear, honey and nutmeg thrown in, while the texture is soft and body full. A good find for those who like lushness.",Hoffman Vineyard,90,40.0,California,Livermore Valley,Central Coast,Chardonnay,Darcie Kent Vineyards,Jim Gordon,@gordone_cellars,Darcie Kent Vineyards 2014 Hoffman Vineyard Chardonnay (Livermore Valley)
124159,France,"The Dumont family's wine from multiple parcels is ripe, full of spice and rich yellow fruits. Peach and pineapple flavors are lifted by zesty lime that cuts through the richness. Drink from 2017. The family also rents the 16th-century Massey château.",Clos des Avoueries,90,22.0,Burgundy,Mâcon-Cruzille,,Chardonnay,Demessey,Roger Voss,@vossroger,Demessey 2014 Clos des Avoueries  (Mâcon-Cruzille)
124160,US,"Dobbes' top wines are the single vineyard cuvées such as this, an aromatic, dark and dense compilation of purple and black fruits. Accents of cola, coffee and tobacco are nicely knit together, and it's made for near-term enjoyment. Drink now through 2020.",Meyer Vineyard,90,65.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Dobbes Family Estate,Paul Gregutt,@paulgwine ,Dobbes Family Estate 2012 Meyer Vineyard Pinot Noir (Dundee Hills)
124161,France,"High-toast aromas from the wood aging are followed on the palate by more layers of toast and spice. Behind this wood and tannin there is plenty of the ripe, soft fruit that is more typical of this appellation. The wine will fill out and give some generous fruit. Drink from 2019.",Aux Guettes Premier Cru,90,35.0,Burgundy,Savigny-lès-Beaune,,Pinot Noir,Domaine A. Machard de Gramont,Roger Voss,@vossroger,Domaine A. Machard de Gramont 2014 Aux Guettes Premier Cru  (Savigny-lès-Beaune)
124162,France,"Attractive spice and green-fruit aromas lead to this fresh, ripe wine. Touches of wood give a spicy buttery taste that contrasts easily with the flavors. Fruity with a light mineral character, it is ready to drink.",Les Houillères,90,50.0,Burgundy,Puligny-Montrachet,,Chardonnay,Domaine A. Machard de Gramont,Roger Voss,@vossroger,Domaine A. Machard de Gramont 2014 Les Houillères  (Puligny-Montrachet)
124163,France,"This wine is soft and fruity, lifted by a shot of acidity. Fragrant yellow fruits and crisper lime are attractively in balance. Drink now.",Vielles Vignes,90,35.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Domaine des Deux Roches,Roger Voss,@vossroger,Domaine des Deux Roches 2014 Vielles Vignes  (Pouilly-Fuissé)
124164,France,"A rich, ripe while still mineral wine, this is concentrated and dense with fruit. It has a good texture as well as a layer of toast that gives extra depth. The wine has spice and a stylish, crisp aftertaste. Drink from 2017.",Vieilles Vignes,90,55.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Domaine Pascal et Mireille Renaud,Roger Voss,@vossroger,Domaine Pascal et Mireille Renaud 2015 Vieilles Vignes  (Pouilly-Fuissé)
124165,Argentina,"Cool aromas of cola, blackberry and earth come with cedary oak. In the mouth, this blend of three vineyards is abruptly tannic, actually choppy and hard. Plum and raspberry taste dry and toasty before a grating finish. Drink through 2023.",Selección de Bodega,90,50.0,Mendoza Province,Mendoza,,Malbec,Doña Paula,Michael Schachner,@wineschach,Doña Paula 2010 Selección de Bodega Malbec (Mendoza)
124166,Italy,"Weedy underbrush, porcini mushroom, stewed plum, violet and leather aromas come together on this. The forward, approachable palate offers juicy black cherry, crushed strawberry, baking spice, orange zest and a hazelnut note framed in polished tannins.",Coste Rubin,90,,Piedmont,Barbaresco,,Nebbiolo,Fontanafredda,Kerin O’Keefe,@kerinokeefe,Fontanafredda 2013 Coste Rubin  (Barbaresco)
124167,US,"This young wine seems to be just coming out of bottle shock, and initially the flavors pull up short. It's showing strawberry and red plum with a bit of milk chocolate, sourced from Whistling Ridge, Durant and Bishop Creek vineyards. Just 10% saw new French oak. Give this elegant wine another year or so to smooth out, and drink 2017 through 2020.",,90,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Goodfellow,Paul Gregutt,@paulgwine ,Goodfellow 2014 Pinot Noir (Willamette Valley)
124168,US,"The spicy, oaky aromas are obvious and fun, leading to fully ripe flavors like blackberry jam in this full-bodied, deeply colored and velvet-textured wine. It's big but smooth, and the oak influence is welcome, adding interest and complexity.",Epicenter Old Vine,90,20.0,California,Lodi,Central Valley,Zinfandel,Mettler Family Vineyards,Jim Gordon,@gordone_cellars,Mettler Family Vineyards 2013 Epicenter Old Vine Zinfandel (Lodi)
124169,US,"From a vineyard six miles off the coast, this wine is soft and smoky, a full-on rendering of berry pie topped with vanilla ice cream. Malleable in body, it has a richness that persists on the palate.",Goldrock Ridge,90,68.0,California,Sonoma Coast,Sonoma,Pinot Noir,Migration,Virginie Boone,@vboone,Migration 2013 Goldrock Ridge Pinot Noir (Sonoma Coast)
124170,US,"A stainless-steel fermented wine, this shows shy elements of grass and herb before delving into fulsome, weighty waves of high-toned melon and peach. Relatively full-bodied in style, it's hearty and welcoming.",,90,19.0,California,Dry Creek Valley,Sonoma,Sauvignon Blanc,Pech Merle,Virginie Boone,@vboone,Pech Merle 2015 Sauvignon Blanc (Dry Creek Valley)
124171,Italy,"Red-berry, rose, crushed herb, and espresso aromas come together on this while the dense palate doles out black cherry, fleshy raspberry, grilled herb and a hint of clove. Tightly wound, assertive tannins leave a firm finish. Drink 2018–2023.",,90,45.0,Piedmont,Barolo,,Nebbiolo,Pelassa,Kerin O’Keefe,@kerinokeefe,Pelassa 2012  Barolo
124172,US,"This is a GSM rosé, loaded with watermelon and strawberry fruit, and sporting a slightly dusty mouthfeel. The persistent finish and texture keep it interesting all the way through.",,90,15.0,Oregon,Rogue Valley,Southern Oregon,Rosé,Quady North,Paul Gregutt,@paulgwine ,Quady North 2015 Rosé (Rogue Valley)
124173,US,"Earthy sassafras and cola mark the aroma and flavor profile of this wine, made from multiple vineyards along the appellation's River Road. Juicy in red cherry, it lingers in fleshy acidity and shows a heady ripeness that overflows on the palate.",Yellow Label,90,57.0,California,Russian River Valley,Sonoma,Pinot Noir,Roadhouse Winery,Virginie Boone,@vboone,Roadhouse Winery 2014 Yellow Label Pinot Noir (Russian River Valley)
124174,US,"High-toned red fruit stars in this wine, a nice showing of the sought-after vineyard site atop Moon Mountain. Soft, elegant and integrated in terms of tannin and oak, it retains the structure and acidity to age well and take on additional complexity. Drink now through 2020.",Monte Rosso Reserve,90,50.0,California,Sonoma County,Sonoma,Zinfandel,Rock Wall,Virginie Boone,@vboone,Rock Wall 2014 Monte Rosso Reserve Zinfandel (Sonoma County)
124175,Georgia,"Aromas of black cherry, violet and anise prepare the palate for luscious flavors of cherry pie, blueberry, violet and fennel in this deeply colored semi-sweet wine. Notes of chocolate mingle with silky tannins. A sweet touch of cherry with bright orange zest makes its presence known on the finish.",Kindzmarauli Original,90,17.0,Kakheti,,,Saperavi,Kindzmarauli Marani,Mike DeSimone,@worldwineguys,Kindzmarauli Marani 2014 Kindzmarauli Original Saperavi (Kakheti)
124176,,"This Swiss red blend is composed of four varieties and has aromas of black cherry, red pepper and bell pepper and aromas of black raspberry and elderberry. The tannins are velvety and well balanced.",Les Romaines,90,30.0,,,,Red Blend,Les Frères Dutruy,Jeff Jenssen,@worldwineguys,Les Frères Dutruy 2014 Les Romaines Red
124177,France,"This wine has structure, typical of this appellation, as well as dark black fruits and rich tannins. Acidity cuts through this ripeness, bringing in freshness. Spice and an attractive perfume come along at the end. Drink from 2019.",,90,80.0,Burgundy,Gevrey-Chambertin,,Pinot Noir,Louis Latour,Roger Voss,@vossroger,Louis Latour 2014  Gevrey-Chambertin
